classifier_name,dataset_name,accuracy
elastic_net_bayesian_optimization,auto_insurance,-1954.2186572927958
elastic_net_bayesian_optimization,california_housing,-0.8078401075412551
elastic_net_grid_search,auto_insurance,-1820.585269629523
elastic_net_grid_search,california_housing,-0.780184441053252
elastic_net_random_search,auto_insurance,-1904.7930477904335
elastic_net_random_search,california_housing,-0.8308347780250477
gradient_boosting_bayesian_optimization,blood_transfusion,0.7096659705488622
gradient_boosting_bayesian_optimization,breast_cancer,0.9254496735666325
gradient_boosting_bayesian_optimization,diabetes,0.009320034320034278
gradient_boosting_bayesian_optimization,digits,0.8670079762567241
gradient_boosting_bayesian_optimization,iris,0.9654222222222222
gradient_boosting_bayesian_optimization,wine,0.8581946013810421
gradient_boosting_grid_search,blood_transfusion,0.7088295899647974
gradient_boosting_grid_search,breast_cancer,0.9265455362228159
gradient_boosting_grid_search,diabetes,0.009569834534473812
gradient_boosting_grid_search,digits,0.8683965731637777
gradient_boosting_grid_search,iris,0.9653991769547325
gradient_boosting_grid_search,wine,0.8589581734905024
gradient_boosting_random_search,blood_transfusion,0.7050980812137438
gradient_boosting_random_search,breast_cancer,0.9252585166620254
gradient_boosting_random_search,diabetes,0.009665992523135335
gradient_boosting_random_search,digits,0.868799851604526
gradient_boosting_random_search,iris,0.9649333333333334
gradient_boosting_random_search,wine,0.8565530445699937
random_forest_bayesian_optimization,blood_transfusion,0.7424154930834448
random_forest_bayesian_optimization,breast_cancer,0.9537061171447138
random_forest_bayesian_optimization,diabetes,0.009352515781087162
random_forest_bayesian_optimization,digits,0.9157707289927657
random_forest_bayesian_optimization,iris,0.9572444444444445
random_forest_bayesian_optimization,wine,0.9381544256120528
random_forest_grid_search,blood_transfusion,0.7401962814219841
random_forest_grid_search,breast_cancer,0.9534202275235413
random_forest_grid_search,diabetes,0.009023287743525794
random_forest_grid_search,digits,0.9145682619180115
random_forest_grid_search,iris,0.9570864197530865
random_forest_grid_search,wine,0.9384299801213644
random_forest_random_search,blood_transfusion,0.7392207407407407
random_forest_random_search,breast_cancer,0.953554070361088
random_forest_random_search,diabetes,0.00885436456865024
random_forest_random_search,digits,0.9166982007048784
random_forest_random_search,iris,0.9571111111111111
random_forest_random_search,wine,0.9396930320150659
xgboost_bayesian_optimization,blood_transfusion,0.7231910754127622
xgboost_bayesian_optimization,breast_cancer,0.9604346669141991
xgboost_bayesian_optimization,digits,0.9030532368762753
xgboost_bayesian_optimization,iris,0.9531999999999999
xgboost_bayesian_optimization,wine,0.89430131826742
xgboost_grid_search,blood_transfusion,0.727440329218107
xgboost_grid_search,breast_cancer,0.9591564645495769
xgboost_grid_search,digits,0.9023063129907871
xgboost_grid_search,iris,0.9530246913580246
xgboost_grid_search,wine,0.8940573341703285
xgboost_random_search,blood_transfusion,0.7243849352967424
xgboost_random_search,breast_cancer,0.9609978650329526
xgboost_random_search,digits,0.9054090150250418
xgboost_random_search,iris,0.9528444444444443
xgboost_random_search,wine,0.8947853107344633
