predictions,mean,std,sharpe,max_drawdown
predictions_model_meta_weighted,0.024356904496019485,0.019851693733333068,1.2269433945135721,0.02978662175832758
predictions_model_meta_lgbm,0.024620255663211243,0.02007214637065441,1.2265880892143253,0.026434150876777363
predictions_model_target_agnes_20,0.014007477243044983,0.016962425099527573,0.8257944934675119,0.02937937055417006
neutralized_predictions_model_target_agnes_20,0.014750878821832465,0.014398252034044597,1.0244909442447656,0.034558759152904406
predictions_model_target_agnes_60,0.01164116531180517,0.016156128361493098,0.720541769125269,0.03218660980434562
neutralized_predictions_model_target_agnes_60,0.012613678627720552,0.015761880392270482,0.8002648360348055,0.02459949294480529
predictions_model_target_alpha_20,0.018583623507687188,0.021714070372203794,0.8558332541592987,0.03976064097297893
neutralized_predictions_model_target_alpha_20,0.01921654195200831,0.021601242042358852,0.8896035660507726,0.03985549098039831
predictions_model_target_alpha_60,0.016606530539145216,0.020363127453425042,0.8155196483019619,0.026419191961986277
neutralized_predictions_model_target_alpha_60,0.01686160149299869,0.020315777919298127,0.8299756750629625,0.02912816170879473
predictions_model_target_bravo_20,0.02050268169145161,0.02024448193917263,1.0127540804973314,0.03182215535734134
neutralized_predictions_model_target_bravo_20,0.021717139092501166,0.0174358442494462,1.2455456003050125,0.026966216565674106
predictions_model_target_bravo_60,0.018679169823830763,0.019945310732901192,0.9365193690874998,0.03154057405550284
neutralized_predictions_model_target_bravo_60,0.020123966221046077,0.018749198689904902,1.0733240686110703,0.021172292882164934
predictions_model_target_caroline_20,0.020495868310496553,0.021746360172917666,0.9424964981505989,0.04537706580194745
neutralized_predictions_model_target_caroline_20,0.01954808345660801,0.01863619871658353,1.0489308336905119,0.031022872340126018
predictions_model_target_caroline_60,0.020019344922143738,0.021147176213088474,0.9466675229080138,0.04448512853626396
neutralized_predictions_model_target_caroline_60,0.01868963351126203,0.019439596279439905,0.9614208671107504,0.03260387038204715
predictions_model_target_charlie_20,0.0208092559297947,0.020817636158050514,0.9995974457334065,0.021078435080715385
neutralized_predictions_model_target_charlie_20,0.021615634458389963,0.020628235505279535,1.0478663796938772,0.018923716871831475
predictions_model_target_charlie_60,0.019429937538642077,0.021140050088650063,0.9191055582727246,0.023621726458701975
neutralized_predictions_model_target_charlie_60,0.020122700675313784,0.02090623919198081,0.962521307181467,0.02405591042424504
predictions_model_target_claudia_20,0.02066534824474163,0.01972931516717388,1.047443769316694,0.028211979762795103
neutralized_predictions_model_target_claudia_20,0.020027143880654477,0.018562183779659278,1.0789217539479663,0.02713739245493141
predictions_model_target_claudia_60,0.017598619603413627,0.02114548300333689,0.8322637794859761,0.03223920287711235
neutralized_predictions_model_target_claudia_60,0.01779259909393079,0.02008624394852087,0.8858101663771248,0.03020296076468676
predictions_model_target,0.021365431817619213,0.02196434675429136,0.9727324038646797,0.04198921230642605
neutralized_predictions_model_target,0.02117155184977408,0.018932822562357798,1.1182459340144728,0.025577766568663618
predictions_model_target_cyrusd_60,0.020616297996532494,0.02212722113352064,0.9317165437145994,0.04737337147076515
neutralized_predictions_model_target_cyrusd_60,0.02139954237189441,0.021459016464326162,0.9972284800409832,0.0424170205061134
predictions_model_target_delta_20,0.019719857061626433,0.01892465539557679,1.0420193472181007,0.023408041127844115
neutralized_predictions_model_target_delta_20,0.020659017675785502,0.017666864132416405,1.1693652886523809,0.01438084583130661
predictions_model_target_delta_60,0.018580030382508383,0.018926889564622337,0.9816737356167442,0.024047192614233104
neutralized_predictions_model_target_delta_60,0.02118786821321969,0.019949700948333284,1.062064452399215,0.01186588952295764
predictions_model_target_echo_20,0.02077839788217736,0.02163185152650789,0.9605464357369179,0.03103136023693831
neutralized_predictions_model_target_echo_20,0.022881695632361674,0.020293244531698375,1.1275523535243512,0.025830899560106868
predictions_model_target_echo_60,0.018897643964286774,0.021239803535522784,0.8897278137569006,0.027512085367715988
neutralized_predictions_model_target_echo_60,0.02061107928291185,0.02125773148746504,0.9695803757360235,0.028190994251982127
predictions_model_target_jeremy_20,0.015040685254609212,0.020989197829923895,0.716591714294388,0.055107140908665864
neutralized_predictions_model_target_jeremy_20,0.017793830164977667,0.02105006010078227,0.8453101834287118,0.04198239608023058
predictions_model_target_jeremy_60,0.013191250705012921,0.019061930912700663,0.6920206964040458,0.03461573682714403
neutralized_predictions_model_target_jeremy_60,0.014330224219861274,0.018437529332367288,0.7772312635567937,0.04516486470267067
predictions_model_target_ralph_20,0.02079238310089187,0.023527308906125293,0.8837552643123842,0.03940131171927108
neutralized_predictions_model_target_ralph_20,0.022567206692835073,0.022215450664722407,1.015833846156056,0.03218690615544739
predictions_model_target_ralph_60,0.020166406447626704,0.022209701630678296,0.9079998814468906,0.03026777913084311
neutralized_predictions_model_target_ralph_60,0.020660519905351553,0.020878724990507583,0.9895489267062411,0.030949997457986655
predictions_model_target_rowan_20,0.019337614873808875,0.02040093636490186,0.9478787898715109,0.028616317122493462
neutralized_predictions_model_target_rowan_20,0.01954842920272828,0.01939217400993271,1.0080576418464242,0.030515603981161266
predictions_model_target_rowan_60,0.01765410300409765,0.020548314766848878,0.8591508940956787,0.03813850326719814
neutralized_predictions_model_target_rowan_60,0.01746598093468155,0.01880179453122924,0.9289528670080431,0.03996369145124046
predictions_model_target_sam_20,0.020445655505319987,0.021792951685550663,0.9381774346279136,0.03619336413122465
neutralized_predictions_model_target_sam_20,0.02103585231264567,0.01924331273532608,1.0931512989459928,0.02816536387187374
predictions_model_target_sam_60,0.02006209230680885,0.02111773301810161,0.9500116461180804,0.044851961946898555
neutralized_predictions_model_target_sam_60,0.02038963321218474,0.019958745001764585,1.0215889431115062,0.034220103094956045
predictions_model_target_teager2b_20,0.01800427710318035,0.019978281822244984,0.9011924680696684,0.03467708811915626
neutralized_predictions_model_target_teager2b_20,0.017681383714950274,0.019158610662615965,0.9228948813836386,0.03216796635836294
predictions_model_target_teager2b_60,0.016454431005835688,0.019743115337313797,0.8334262716247921,0.03515666868588996
neutralized_predictions_model_target_teager2b_60,0.017009571287196337,0.019119884050277904,0.8896273242278949,0.031729003709875525
predictions_model_target_tyler_20,0.018646656774294626,0.02255709406425045,0.8266426837243513,0.041798358909454714
neutralized_predictions_model_target_tyler_20,0.01940675761764843,0.02028103698319084,0.9568917819011412,0.03729350529360109
predictions_model_target_tyler_60,0.019632448920571383,0.02206012175588367,0.8899519747816079,0.03360538609171859
neutralized_predictions_model_target_tyler_60,0.0185947572833789,0.018291451586104866,1.016581827628401,0.030266305590975096
predictions_model_target_victor_20,0.021893929635698514,0.02166657716096763,1.0104932344893156,0.031969795951968694
neutralized_predictions_model_target_victor_20,0.021427218812129716,0.020866158106682187,1.0268885485569026,0.030902122557376233
predictions_model_target_victor_60,0.021087823326003684,0.021878654177185604,0.9638537706763255,0.027271770056660705
neutralized_predictions_model_target_victor_60,0.02055552459362371,0.020733794684752165,0.9914019554143866,0.02819360739602439
predictions_model_target_waldo_20,0.01906328892186569,0.021853306274403756,0.8723297373173254,0.04449111782350801
neutralized_predictions_model_target_waldo_20,0.02011015803470562,0.018749000323802487,1.0725989486050143,0.030247065071016266
predictions_model_target_waldo_60,0.018619872667013624,0.02129437353205937,0.8744034023344618,0.04759302895448825
neutralized_predictions_model_target_waldo_60,0.019614524684590698,0.018781883556071285,1.0443321419831857,0.04467149721626629
predictions_model_target_xerxes_20,0.021261234171420666,0.022421527546757337,0.9482509221141592,0.041950189564211815
neutralized_predictions_model_target_xerxes_20,0.02156910992748375,0.019478148471993424,1.1073490870293348,0.030910838309138766
predictions_model_target_xerxes_60,0.020404693780745546,0.022130288289144193,0.9220256651945595,0.04857052782955262
neutralized_predictions_model_target_xerxes_60,0.021022072642171097,0.020587795084472674,1.0210939323961872,0.04054033181891814
predictions_model_omega,0.024818330815092205,0.020166846319829918,1.2306500690040225,0.02968452013229106
